artefact,notebook,title,plot_index,cell_index,width_px,height_px,result_type,notes
results/plots/real_examples/01_poisson_equation_pde-plot-01.png,notebooks/real_examples/01_poisson_equation_pde.ipynb,Solving Real Physics PDEs: 1D and 2D Poisson Equations,1,9,866,340,plot,embedded notebook PNG output
results/plots/real_examples/01_poisson_equation_pde-plot-02.png,notebooks/real_examples/01_poisson_equation_pde.ipynb,Solving Real Physics PDEs: 1D and 2D Poisson Equations,2,14,1090,397,plot,embedded notebook PNG output
results/plots/real_examples/01_poisson_equation_pde-plot-03.png,notebooks/real_examples/01_poisson_equation_pde.ipynb,Solving Real Physics PDEs: 1D and 2D Poisson Equations,3,19,1110,322,plot,embedded notebook PNG output
results/plots/real_examples/01_poisson_equation_pde-plot-04.png,notebooks/real_examples/01_poisson_equation_pde.ipynb,Solving Real Physics PDEs: 1D and 2D Poisson Equations,4,22,1061,381,plot,embedded notebook PNG output
results/plots/real_examples/02_hamiltonian_simulation_schrodinger_dynamics-plot-01.png,notebooks/real_examples/02_hamiltonian_simulation_schrodinger_dynamics.ipynb,Hamiltonian Simulation: Real-Time Dynamics,1,7,1090,397,plot,embedded notebook PNG output
results/plots/real_examples/03_greens_function_response-plot-01.png,notebooks/real_examples/03_greens_function_response.ipynb,Green's Functions: Resolvent Response Solver,1,6,623,392,plot,embedded notebook PNG output
results/plots/real_examples/04_ising_phase_transition_filtering-plot-01.png,notebooks/real_examples/04_ising_phase_transition_filtering.ipynb,Transverse-Field Ising Phase Transition Filtering,1,8,851,251,plot,embedded notebook PNG output
results/plots/real_examples/04_ising_phase_transition_filtering-plot-02.png,notebooks/real_examples/04_ising_phase_transition_filtering.ipynb,Transverse-Field Ising Phase Transition Filtering,2,11,1211,371,plot,embedded notebook PNG output
results/plots/real_examples/04_ising_phase_transition_filtering-plot-03.png,notebooks/real_examples/04_ising_phase_transition_filtering.ipynb,Transverse-Field Ising Phase Transition Filtering,3,14,1061,381,plot,embedded notebook PNG output
results/plots/real_examples/05_fermi_dirac_electronic_occupations-plot-01.png,notebooks/real_examples/05_fermi_dirac_electronic_occupations.ipynb,Fermi-Dirac Electronic Occupations,1,7,1111,731,plot,embedded notebook PNG output
results/plots/real_examples/06_topological_band_projector_chern_marker-plot-01.png,notebooks/real_examples/06_topological_band_projector_chern_marker.ipynb,Topological Band Projector and Chern Marker,1,9,415,451,plot,embedded notebook PNG output
results/plots/real_examples/06_topological_band_projector_chern_marker-plot-02.png,notebooks/real_examples/06_topological_band_projector_chern_marker.ipynb,Topological Band Projector and Chern Marker,2,14,1160,351,plot,embedded notebook PNG output
results/plots/real_examples/07_singular_value_pseudoinverse_deblurring-plot-01.png,notebooks/real_examples/07_singular_value_pseudoinverse_deblurring.ipynb,Singular-Value Pseudoinverse Deblurring,1,7,1111,731,plot,embedded notebook PNG output
results/plots/real_examples/08_matrix_log_entropy_graph_laplacian-plot-01.png,notebooks/real_examples/08_matrix_log_entropy_graph_laplacian.ipynb,Matrix-Log Entropy of a Graph Laplacian,1,7,1111,731,plot,embedded notebook PNG output
results/plots/real_examples/09_phonon_density_of_states-plot-01.png,notebooks/real_examples/09_phonon_density_of_states.ipynb,Phonon Density of States of a Mass-Spring Chain,1,7,1111,431,plot,embedded notebook PNG output
results/plots/real_examples/10_thermal_heisenberg_chain-plot-01.png,notebooks/real_examples/10_thermal_heisenberg_chain.ipynb,Thermal Observables of a Heisenberg Spin Chain,1,7,1061,431,plot,embedded notebook PNG output
results/plots/real_examples/11_disordered_transport_localization-plot-01.png,notebooks/real_examples/11_disordered_transport_localization.ipynb,Disordered Transport and Wavepacket Localization,1,13,1511,431,plot,embedded notebook PNG output
